galaxy,used_radius_arcsec,n_css,rayleigh_p,mean_PA_deg,Rbar,hemi_axis_deg,hemi_NA,hemi_NB,hemi_binom_p,hemi_dr_median_arcsec,hemi_ks_stat,hemi_ks_p,quad_chi2,quad_dof,quad_p,blue_axis_deg,blue_Rbar,blue_hemi_sumA,blue_hemi_sumB,blue_hemi_asym,blue_hemi_p_perm,blue_quad_p_perm,red_axis_deg,red_Rbar,n_boot_ok,ci_band,n_css_lo,n_css_med,n_css_hi,rayleigh_p_lo,rayleigh_p_med,rayleigh_p_hi,mean_PA_deg_lo,mean_PA_deg_med,mean_PA_deg_hi,Rbar_lo,Rbar_med,Rbar_hi,hemi_axis_deg_lo,hemi_axis_deg_med,hemi_axis_deg_hi,hemi_NA_lo,hemi_NA_med,hemi_NA_hi,hemi_NB_lo,hemi_NB_med,hemi_NB_hi,hemi_binom_p_lo,hemi_binom_p_med,hemi_binom_p_hi,hemi_dr_median_arcsec_lo,hemi_dr_median_arcsec_med,hemi_dr_median_arcsec_hi,hemi_ks_stat_lo,hemi_ks_stat_med,hemi_ks_stat_hi,hemi_ks_p_lo,hemi_ks_p_med,hemi_ks_p_hi,quad_chi2_lo,quad_chi2_med,quad_chi2_hi,quad_dof_lo,quad_dof_med,quad_dof_hi,quad_p_lo,quad_p_med,quad_p_hi,blue_axis_deg_lo,blue_axis_deg_med,blue_axis_deg_hi,blue_Rbar_lo,blue_Rbar_med,blue_Rbar_hi,blue_hemi_sumA_lo,blue_hemi_sumA_med,blue_hemi_sumA_hi,blue_hemi_sumB_lo,blue_hemi_sumB_med,blue_hemi_sumB_hi,blue_hemi_asym_lo,blue_hemi_asym_med,blue_hemi_asym_hi,blue_hemi_p_perm_lo,blue_hemi_p_perm_med,blue_hemi_p_perm_hi,blue_quad_p_perm_lo,blue_quad_p_perm_med,blue_quad_p_perm_hi,red_axis_deg_lo,red_axis_deg_med,red_axis_deg_hi,red_Rbar_lo,red_Rbar_med,red_Rbar_hi
SDSS J125939.47+275116.5,60.0,8,0.00025154367488148095,290.21126543913954,0.892985790491061,290.21126543913954,8.0,0.0,0.0078125,,,,12.0,3.0,0.007383160505359809,284.68188452752776,0.8849269704898315,4.279719701872347,0.0,1.0,1.0,0.7996001999000499,296.38375716075177,0.9122820619691584,1000.0,16-84%,8.0,8.0,8.0,-1.6681525298286245e-05,0.00013097486841400115,0.0006368784758752932,279.5979121430057,290.65739499748054,299.5585054432647,0.8639146617106426,0.9081720421764082,0.9440422988495638,279.5979121430057,290.65739499748054,299.5585054432647,8.0,8.0,8.0,0.0,0.0,0.0,0.0078125,0.0078125,0.0078125,,,,,,,,,,9.0,12.0,17.0,3.0,3.0,3.0,0.0007067423923370342,0.007383160505359809,0.029290886534888205,271.62393856670633,285.08547044889133,296.5349872210795,0.8677278465693612,0.9039979583557521,0.9415474532582521,3.4935749904779447,4.308584797997404,5.084737610095067,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46,0.8,0.98,285.0677802511749,295.69924447119513,304.69489786006557,0.8809522361048053,0.9260176707768497,0.9588720745935848
LEDA 126771,60.0,1638,1.412900930136444e-42,39.049373002911295,0.2425481950743978,39.049373002911295,1061.0,577.0,2.6971814026792047e-33,5.589357450794964,0.14630094561064494,1.8964235180636631e-07,213.5897435897436,3.0,0.0,41.83082513660031,0.19450870312549326,525.9031880822367,321.5507565387587,0.24113691704493748,1.0,1.0,37.206828358420296,0.2871016551079934,1000.0,16-84%,1638.0,1638.0,1638.0,1.9293217667745828e-48,6.488526303320971e-43,4.988845175734205e-37,35.14031578822494,39.17921911096096,43.172888079757115,0.22590471770568538,0.24352561427784525,0.25898614376974377,35.14031578822494,39.17921911096096,43.172888079757115,1042.0,1061.0,1078.0,560.0,577.0,596.0,5.569729243258499e-38,2.6971814026792047e-33,1.8730461888478326e-28,3.9243183174674825,5.474283390911076,6.937646878430414,0.12783803125383697,0.1521767604627574,0.175695270387726,1.2258830005466585e-10,4.736020032303146e-08,8.128079001330352e-06,183.8649084249084,215.5726495726496,249.91833943833947,3.0,3.0,3.0,0.0,0.0,0.0,36.19138422975004,42.1612798541496,47.6927228132717,0.17516864504912208,0.19572575206714155,0.21338222142964836,515.9293523607939,529.2815433579485,540.8022349248942,307.38869003440664,318.5703141178469,330.9053634904565,0.22163160774613178,0.2479298790437564,0.27253521633516564,1.0,1.0,1.0,1.0,1.0,1.0,33.406783617315625,37.30473064889162,40.95638258964277,0.26751698740439456,0.28736113311028844,0.30806046080806854
SDSS J130033.33+275849.3,60.0,56,0.24908350796806503,87.50204323997639,0.15754631208999098,87.50204323997639,34.0,22.0,0.1408954235984807,1.9109166131565942,0.12299465240641712,0.9682072790019624,2.142857142857143,3.0,0.5432912450214109,82.3549767363657,0.20725600303213706,23.8751741915271,12.297037726609684,0.3200837286677547,0.06746626686656672,0.0384807596201899,93.12270422492122,0.07970669460692735,1000.0,16-84%,56.0,56.0,56.0,0.015916226182918932,0.13888060957092294,0.5001012486704504,55.74665646729329,89.30728150831658,125.2834499047832,0.11123857431873717,0.18775658635134437,0.27191368435494484,55.74665646729329,89.30728150831658,125.2834499047832,31.0,35.0,38.0,18.0,21.0,25.0,0.01045481832189218,0.08142681460950618,0.5044037600228255,-6.143788248606739,-0.34531009944737434,6.287708452667886,0.19444444444444445,0.2604166666666667,0.34375,0.07315456796799258,0.2903328897005457,0.6360887731466953,1.857142857142857,4.428571428571429,8.571428571428571,3.0,3.0,3.0,0.03556654007389515,0.21875073004155254,0.602579645949568,55.77210518564152,83.75194256074747,112.85432971379396,0.15085562253985546,0.23367255521270597,0.3175836897463291,20.729453193984078,23.700790329758497,26.822977349794517,9.573592209913647,12.236253971291866,14.95391358721572,0.17088459161758054,0.31958357362967693,0.46583164421350753,0.02,0.16,0.58,0.02,0.08,0.4,31.93066161839232,92.08115789870163,164.7091947574154,0.073734865666065,0.14692425575069834,0.2385417021008978
2MASX J12592536+2756038,60.0,378,0.0009259089569339364,85.45653102970755,0.13593430025654635,85.45653102970755,218.0,160.0,0.0033171143045398147,3.2134728439547686,0.10986238532110092,0.1962646024917558,9.619047619047619,3.0,0.02209804351891398,89.74572936063498,0.11509475176215384,119.25788671313634,94.70981658039025,0.11472792274201492,0.9615192403798101,0.9480259870064968,92.7878054490036,0.18089166627152242,1000.0,16-84%,378.0,378.0,378.0,1.0552938510684393e-05,0.0006120819798639098,0.013480253979994986,70.5366134508995,85.88270355831338,102.46236224365089,0.10673769131277337,0.13990419812991464,0.1741127616773518,70.5366134508995,85.88270355831338,102.46236224365089,208.0,217.0,227.0,151.0,161.0,170.0,0.00010903214719687772,0.004607088498085085,0.05688709939323303,-0.03338523000268415,3.5960209069913063,7.459572426179012,0.10895205250221955,0.14777424964284544,0.1928787018255578,0.0017308202296219225,0.030959719111567727,0.20295988592771022,5.957671957671957,11.481481481481481,18.296296296296298,3.0,3.0,3.0,0.00038209535964284225,0.009387874317381861,0.11368783495889401,71.00602057313267,90.32637241081545,111.87544302096273,0.08338495032173623,0.1207071937506804,0.15837233235555437,114.69080978731964,120.90364267131318,127.42153684752734,87.00569276173177,92.54638378908729,99.08513460596093,0.07660025884439357,0.13347487718101309,0.1852235430847919,0.46,0.88,1.0,0.64,0.92,1.0,79.03343813012816,93.07766291859633,106.6057924904361,0.1470704026623192,0.18514307295908516,0.2231918570492386
GMP 2550,60.0,165,0.05767694033491259,20.46443468316795,0.1314925469237966,20.46443468316795,98.0,67.0,0.01924201279261728,-11.649454833953811,0.23347547974413646,0.021215393124411452,5.884848484848485,3.0,0.11734899242946828,22.684590555565535,0.1172736667189952,57.703727072562145,39.70384318643779,0.18478937353907837,0.49075462268865566,0.9980009995002499,8.275802804261275,0.21035560202131354,1000.0,16-84%,165.0,165.0,165.0,0.002371846243446017,0.036729246759318115,0.24067592927010006,358.02488007309694,20.19478732107001,46.53340034634107,0.09290933823250971,0.14151094607365422,0.1913918382169537,358.02488007309694,20.19478732107001,46.53340034634107,91.0,98.0,105.0,60.0,67.0,74.0,0.0005722115632375066,0.01924201279261728,0.21278579701152142,-16.831181037403756,-12.795733131163919,-7.549581952452656,0.21240811975573728,0.2968826705940108,0.3768108396336072,1.6588436002229727e-05,0.0014205257671038008,0.050859261475764944,3.8484848484848486,8.115151515151513,13.698666666666666,3.0,3.0,3.0,0.0033454935466701798,0.0436908627635757,0.27829667567449323,354.60588498725303,22.422353420658055,54.74869608530804,0.07790328694518599,0.131017276854555,0.1853865349461975,52.590304294137894,56.995275926600634,62.13649473708323,35.17574660335912,40.3099851352241,45.17492941609172,0.08356230744314934,0.17383298396085717,0.27183929619208247,0.4,0.82,0.98,0.78,0.98,1.0,352.9220315377729,8.058826655146788,25.03851783955639,0.16031174497991701,0.21630585630538438,0.28112741991954954
SDSS J125942.36+280158.5,60.0,154,0.31779681334869986,161.57539203970794,0.08627737857014876,161.57539203970794,84.0,70.0,0.29481351399329186,4.919466027114595,0.16428571428571428,0.22734835751747684,2.6233766233766236,3.0,0.4534060537985759,162.20828035298166,0.07281082217189612,48.72846326078083,42.026293344227554,0.0738492412659218,0.816591704147926,0.9410294852573713,157.36995564185895,0.12170345931747918,1000.0,16-84%,154.0,154.0,154.0,0.02261614037402977,0.17956273883022386,0.6078090875108466,122.35872397088758,160.1019079188202,200.1174050297593,0.056860186638495354,0.10559792722800176,0.1568591975605024,122.35872397088758,160.1019079188202,200.1174050297593,81.0,87.0,93.0,61.0,67.0,73.0,0.012237048519511283,0.12547871343864211,0.572845968999708,-2.0298720880313987,3.439928280289493,8.785298480942235,0.1413167187035385,0.19390573346661472,0.2652821135742484,0.00805652045298223,0.10394483701420883,0.39845361643412364,1.7922077922077921,4.64935064935065,9.48051948051948,3.0,3.0,3.0,0.023539506046068026,0.19934918836370563,0.6166320739348246,113.08682496428446,161.63294441652386,210.48916739003403,0.052155427603911515,0.09883150583566769,0.15386960337597486,47.131267108601186,51.06361076668318,55.22724457620259,35.60048082083359,39.61920482616742,43.275808441963854,0.048090646052055916,0.12623010908804055,0.21226445583445994,0.24,0.62,0.92,0.3968000000000001,0.8,0.98,123.98206606618663,156.73260360628376,186.2873318776318,0.08038436993660131,0.1396592525261646,0.20209785041382458
[EDG2007] 265,60.0,72,0.059048467862755846,196.94438901741162,0.1982351536795918,196.94438901741162,44.0,28.0,0.07636915467183139,1.4345916647329702,0.12987012987012986,0.8936437840136305,5.888888888888889,3.0,0.11714294851589024,204.52853474776882,0.19780457698829973,30.784109574599036,17.881656784424177,0.26512379759910204,0.2753623188405797,0.8520739630184908,193.57263294620194,0.2085017416988192,1000.0,16-84%,72.0,72.0,72.0,0.0021791461892961233,0.03080727488182934,0.23123249679876298,172.27372573392142,196.79729219763612,221.91472346938735,0.1426112655715237,0.2198489810516734,0.2917576574316136,172.27372573392142,196.79729219763612,221.91472346938735,42.0,46.0,50.0,22.0,26.0,30.0,0.0012935849626762883,0.02446090732832437,0.1945051658673991,-4.326872468161707,1.3198455593460032,10.17692126380458,0.1875,0.2476485330974495,0.3190665597433841,0.05546861861868844,0.231694383450948,0.5491412732163043,4.555555555555555,8.555555555555555,13.924444444444438,3.0,3.0,3.0,0.003011943786854251,0.03582260915894264,0.20738806762077422,177.60121939211717,204.02430122677788,230.5422795858077,0.141660058982012,0.22208225505483098,0.29977623736493564,27.95772418127861,30.900538564471198,34.057268952308505,14.958979674016325,17.770179853766717,20.53432245582789,0.15821553357680218,0.2722782359822843,0.38644519717831,0.18,0.54,0.86,0.42,0.76,0.94,168.95420299307557,193.2471784379493,223.03477016846625,0.14082223202922695,0.22982076913075172,0.31804484460859905
SDSS J125926.45+275124.7,60.0,76,2.1244337834841282e-06,114.07879587996598,0.41457024745868004,114.07879587996598,53.0,23.0,0.0007645817391550476,10.047418496107511,0.33305988515176377,0.04279768384939107,60.526315789473685,3.0,4.537481501643015e-13,108.04311268393013,0.28585870090959536,25.638012222933966,13.868677070641981,0.29790740157530127,0.8285857071464268,0.9825087456271864,115.73988957674669,0.4522490140981568,1000.0,16-84%,76.0,76.0,76.0,6.034061244527281e-09,1.8074266804068694e-06,0.00015978496388057141,105.85185374249943,114.61020363378833,121.81976789367678,0.3391494051090234,0.41712728164738005,0.4990247163514902,105.85185374249943,114.61020363378833,121.81976789367678,50.0,54.0,57.0,19.0,22.0,26.0,1.4836899336372366e-05,0.0003129786008370502,0.007905180027859783,5.138014996705471,10.363025326477114,15.375345969803686,0.2758115234137688,0.37735849056603776,0.48705882352941177,0.000559748801932995,0.015844554210488207,0.14531040201215706,46.421052631578945,62.421052631578945,78.10526315789474,3.0,3.0,3.0,1.1102230246251565e-16,1.7863488466218769e-13,4.6149228882796933e-10,90.7135951689865,109.09767847171423,122.51458879720758,0.2106916315945271,0.2923812372239006,0.3854990902403567,23.028634719043243,26.28650972626172,29.437310840092156,10.308966637330288,13.167023088062024,15.972235170846474,0.1880699663591012,0.3305195458368573,0.4726135856582053,0.3,0.8,0.98,0.92,1.0,1.0,108.37397278739036,116.199564652412,123.41054922865862,0.36438555180600063,0.4561975546809618,0.5503918521427246
[EDG2007] 205,60.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J125928.50+280109.3,60.0,147,0.6107124747357633,359.50618548612914,0.057919073968426875,359.50618548612914,82.0,65.0,0.18676536981201722,0.8937499016569674,0.15478424015009382,0.3077142939308239,3.3401360544217686,3.0,0.34209540597819466,359.9173815428175,0.08240264638430689,48.64645006453715,37.43031126513382,0.1303039127650948,0.49525237381309345,0.3773113443278361,349.3705477736638,0.05669809187061557,1000.0,16-84%,147.0,147.0,147.0,0.08210601586300566,0.3520181683674156,0.7449869737685855,300.9983198117161,358.1441763036389,56.94180845944476,0.044750874962241276,0.08427653947733746,0.13040345938872877,300.9983198117161,358.1441763036389,56.94180845944476,76.0,82.0,87.0,60.0,65.0,71.0,0.031645409418021034,0.18676536981201722,0.6208422313416991,-7.801859678737645,0.7170506798495566,7.778743606273022,0.15608128034526164,0.21277419708705614,0.27968912245067323,0.005378726862836835,0.0643958072045574,0.3036670811670173,2.034013605442177,5.136054421768708,10.323537414965983,3.0,3.0,3.0,0.016009603291843946,0.16210139225200088,0.565377151429387,317.6873814316548,0.7835520009253969,47.453118718299436,0.05499589556718999,0.10204927486177584,0.1565012044996195,44.79714881115685,48.84268413317163,53.209647808694115,33.23881612740316,37.28668813081913,41.31859896536602,0.04907476810803495,0.13613617647891468,0.22649846037605353,0.14,0.46,0.82,0.1,0.36,0.76,286.3389468664284,348.63183599439776,54.61588155445861,0.047484864744177104,0.09449509868905877,0.1476249927831493
