environment,response,N,rho_nominal,p_nominal,rho_boot_q16,rho_boot_q50,rho_boot_q84,rho_boot_err_lo,rho_boot_err_hi,sign_fraction
BCG midpoint,inner,93,0.16345379129241142,0.11746079094306187,0.09692638238190443,0.15496404165796301,0.20899346483244305,0.058037659276058584,0.054029423174480035,0.9975
BCG midpoint,annulus,93,0.45959535674853025,3.582258085983784e-06,0.3695258273402763,0.4141774342753125,0.45956014443018706,0.044651606935036225,0.04538271015487455,1.0
BCG midpoint,contrast,93,-0.17258512130345258,0.09807082035985544,-0.19432902628987495,-0.13879024797827577,-0.07975769150428216,0.055538778311599174,0.05903255647399361,0.991
Local GC density,inner,93,-0.2604219510011638,0.011698372916455355,-0.2764608635970278,-0.22920831965623226,-0.17657246874160723,0.04725254394079556,0.052635850914625026,1.0
Local GC density,annulus,93,-0.6171406403867385,4.4654111710948014e-11,-0.6115305422100206,-0.5654038972277758,-0.5182531109188027,0.046126644982244724,0.04715078630897318,1.0
Local GC density,contrast,93,0.2265524753066157,0.028982694168940996,0.12094357076780757,0.17889648175226042,0.2343254453761451,0.05795291098445285,0.05542896362388469,0.999
Tidal proxy,inner,91,-0.3152890587673196,0.002333531337914838,-0.3354343048256092,-0.2838509316770187,-0.22951106864150345,0.05158337314859052,0.054339863035515246,1.0
Tidal proxy,annulus,91,-0.5228061793279185,1.0602290261410004e-07,-0.5210963529224399,-0.4771062271062271,-0.4329198917025005,0.043990125816212866,0.04418633540372657,1.0
Tidal proxy,contrast,91,0.10611562350692785,0.316771223645074,0.014878802357063245,0.07337155598025163,0.128875298614429,0.05849275362318839,0.05550374263417737,0.892
Nearest BCG,inner,93,0.31450984195647896,0.002138335932304003,0.2257028501957236,0.2799650859628484,0.33048316404979117,0.05426223576712483,0.05051807808694275,1.0
Nearest BCG,annulus,93,0.5007031299575654,3.2017319884161707e-07,0.41223692309126825,0.45490829469854355,0.4971815865779664,0.0426713716072753,0.04227329187942286,1.0
Nearest BCG,contrast,93,-0.0971774088269153,0.35409997047292446,-0.11742068806103613,-0.06520271404477504,-0.008527082626221724,0.05221797401626109,0.056675631418553314,0.871
