iteration,rho_inner,rho_annulus,rho_bgsub,rho_delta
0,-0.15948494524186088,-0.2618393960192175,-0.37326549491211836,-0.4149383784428993
1,-0.17354003163140458,-0.04267255528035569,-0.36850586374623256,-0.42318940049535964
2,0.11784190265882842,-0.10154874518814716,-0.3607024559099996,-0.4060457760138461
3,-0.01107099161469368,-0.008907522902927395,-0.3469159380501924,-0.4049416609471516
4,-0.26389842141386405,0.047655993554355285,-0.4088657455760794,-0.4572080809286503
5,-0.2116469219062397,-0.12845035958342035,-0.3670585777804303,-0.4227567067530064
6,-0.1505028199695622,0.07840709020918503,-0.396078899465847,-0.4380352720002386
7,-0.01902360418966906,-0.03281012204947629,-0.40022679120288857,-0.4715764972695532
8,0.061726000417773264,-0.08962728656262121,-0.33500939989854067,-0.3775476709140282
9,-0.01891916087254931,-0.0759899734415565,-0.35069081794037776,-0.3980633224911223
10,-0.16487123631046519,-0.07536331353883798,-0.366029065083107,-0.42475605025215596
11,-0.03767419653248187,-0.09571483990331532,-0.350168601354779,-0.4086419384679657
12,-0.01645728268329802,0.14201307033511384,-0.3801139924203992,-0.4333353227298498
13,-0.1702426069051953,0.06447136761063531,-0.3717436065769448,-0.41839992838172535
14,-0.016561726000417772,-0.2589149831398645,-0.3333979887201217,-0.3922443376801647
15,-0.15666497567962756,-0.17462922622422486,-0.3963325475217092,-0.45491032795201564
16,-0.22397123332637042,-0.08025722896959206,-0.40218137328041537,-0.4541493837844289
17,-0.2214198322938736,-0.0729312762973352,-0.3990182328190743,-0.4532690758258482
18,-0.053176568887827874,-0.006251678553310852,-0.38166572170332125,-0.43476768822177786
19,-0.08779206827608843,-0.08510638297872339,-0.3724001074274118,-0.42429351556205414
20,-0.09550595326907581,-0.014651905344513737,-0.37029632061114254,-0.41957864581779114
21,0.029796186326877735,-0.06268091074572528,-0.35365999224135347,-0.39305004326937415
22,-0.0366446838351586,-0.012443675211124704,-0.3557637790576228,-0.39415415833606865
23,-0.12679418698337858,0.06587389215481483,-0.4192056339709348,-0.4722329981200202
24,-0.10523410223508697,-0.42223449016740766,-0.34229059114917487,-0.4000477455163975
25,-0.1348512428754737,-0.16482647488884242,-0.33970934916892953,-0.38945420906567985
26,0.06981289725761688,-0.22420996090835843,-0.34100743039598935,-0.3732953358598669
27,-0.21628718928113155,-0.2330876428635373,-0.38779803646563804,-0.4285309301423412
28,-0.20569365283041388,-0.0890901495031482,-0.4100444630121452,-0.46314642953060176
29,-0.07770582793709527,-0.07509474500910147,-0.37326549491211836,-0.4509713228492136
30,-0.0970129211303751,-0.28729372444868845,-0.36129927486496966,-0.4381546357912327
31,-0.024141326728536895,-0.1760019098206559,-0.34936289576556945,-0.3963922294172062
32,-0.09960908358449463,-0.1485929993136582,-0.3505565336755095,-0.3979588791740025
33,0.05399719495091163,-0.009668467070514159,-0.3611053087046044,-0.40437468293993006
34,-0.29035242159290975,-0.08958252514099846,-0.3800543105249022,-0.4312912178090776
35,-0.0671719733818746,-0.05438512727164214,-0.3491390886574557,-0.38976753901703914
36,-0.08997045746172896,-0.1426844916594551,-0.36835665900749,-0.42210020590253944
37,0.06080093103756974,-0.16126048163289664,-0.3537196741368505,-0.4030019993434991
38,-0.20940885082510216,-0.25519978514517616,-0.38596281817910527,-0.4326042195100115
39,-0.24102533496463843,0.02209722180776461,-0.3883202530512368,-0.42196592163767116
40,-0.035719614454955084,-0.09766942198084208,-0.3467219718898272,-0.39994330219927776
41,0.09055235594282474,-0.23062576467428603,-0.3257288651487571,-0.3717734475246933
42,-0.15684402136611858,-0.15979827519322012,-0.3482289397511265,-0.3971382531109187
43,0.036092626301811336,-0.18116439378114646,-0.34839306496374317,-0.39197576915042814
44,-0.08025722896959206,-0.22092745665602337,-0.32925009698308016,-0.3728775625913878
45,-0.03395899853779356,0.0044463012145265724,-0.3594491361045626,-0.4173256542627793
46,-0.05911491748977946,-0.17331622452329082,-0.3403509295455223,-0.39842141386410423
47,-0.06957416967562888,-0.2983647160633821,-0.3629256065172629,-0.40643370833457665
48,-0.03075109665482975,-0.09085076542030975,-0.3518695353764435,-0.41088000954910325
49,-0.13025573692220463,-0.14926442063799944,-0.3610754677568559,-0.4136402972158395
50,-0.06857449792605412,-0.1799558353973322,-0.3898719823341588,-0.4324550147712691
51,-0.05633970934916892,0.03540628450359583,-0.3513920802124675,-0.4068514816030556
52,-0.39148339351257794,-0.2689266211094864,-0.42254782011876696,-0.4659514786189609
53,-0.2427859508818,-0.03622691056667959,-0.4024648622840261,-0.45212019933753095
54,0.02599146548894393,-0.10860612933066752,-0.3599713526901614,-0.42497985736026966
55,0.02614067022768643,-0.11672286711825966,-0.3448867536032944,-0.3872012175106681
56,0.02699113723851869,-0.19695025514010323,-0.31985019844230245,-0.3717734475246933
57,-0.23544507773566883,-0.1942048879472412,-0.4058965712751037,-0.45000149204738743
58,-0.10729312762973349,-0.19808421115454622,-0.35643520038196413,-0.424338276983677
59,0.005102802064993584,-0.15153233266688548,-0.3518098534809465,-0.40556832084987016
60,0.07212557070812567,-0.005774223389334844,-0.3551669601026528,-0.41325236489510897
61,-0.12997224791859388,-0.022694040762734617,-0.3823819044492852,-0.4180865984303661
62,-0.15175613977499924,0.027423830980871946,-0.3965712751036973,-0.4472859658022738
63,-0.06632150637104234,-0.3043478260869565,-0.31973083465130847,-0.3604488078541374
64,-0.33359195488048693,0.07588553012443675,-0.4011369401092178,-0.45744680851063824
65,-0.0666945182178986,-0.3600011936379099,-0.37056488914087904,-0.4015397929038226
66,-0.11038166572170328,-0.3566739279639521,-0.33489003610754675,-0.3753991226761361
67,-0.14437050520724534,-0.12007997373996597,-0.3601503983766524,-0.41586344782310286
68,0.03210885977738652,-0.2705529527617797,-0.3367849362895765,-0.3868132851899376
69,-0.16402076929963294,-0.17649428545850615,-0.39588493330548175,-0.44747993196263913
70,-0.10505505654859595,-0.18371579481364322,-0.34472262839067763,-0.40700068634179815
71,-0.12694339172212107,-0.25803467518128376,-0.38494822595565625,-0.44185491331204674
72,-0.07706424756050251,-0.031482199874668014,-0.3745635761391782,-0.4313956611261973
73,-0.14038673868282053,-0.31592611381337465,-0.35048193130613825,-0.4004804392587508
74,-0.12680910745725282,-0.09162663006177076,-0.39921219897943955,-0.4332159589388558
75,0.06999194294410789,0.022798484079854374,-0.3573155083405448,-0.41316284205186354
76,0.03576437587657783,-0.007012622720897615,-0.36286592462176587,-0.4170720062069171
77,-0.1712870400763928,-0.16073826504729788,-0.35719614454955084,-0.4064038673868281
78,-0.07206588881262868,-0.19056429232192415,-0.3676404762615261,-0.4122228521977857
79,0.011936379099400195,-0.03097490376294351,-0.36529796186326874,-0.4295753633135388
80,-0.03286980394497328,0.00020888663423950345,-0.37138551520396285,-0.42575572200173073
81,0.04783503924084628,-0.16384172361314195,-0.30971919668168657,-0.35986690937304167
82,0.1008474829160574,-0.13238936468622242,-0.3487213153889767,-0.3814866760168303
83,-0.07212557070812567,-0.20645459699800062,-0.35947897705231113,-0.4094476440571752
84,-0.009817671809256662,-0.17145116528900953,-0.35612187043060484,-0.3773387842797887
85,-0.07384142520366445,-0.08249530005072961,-0.3677896810002685,-0.4317089910775566
86,-0.11129181462803257,-0.2560054907343857,-0.366864611620065,-0.4426009370057592
87,0.010578615976843423,0.1512190027155262,-0.37666736295544745,-0.4304705917459938
88,-0.24245770045656648,-0.08527050819134015,-0.40343469308585234,-0.46723463937214643
89,-0.12188535107875025,-0.17542001133956012,-0.36279132225239474,-0.4115066694518218
90,-0.11164990600101457,-0.11059055235594281,-0.3888723105845841,-0.44042254782011864
