name,N_inner,N_annulus,A_ap_geom,A_bg_geom,A_ap_eff,A_bg_eff,A_ap_eff_over_geom,A_bg_eff_over_geom,f_cov_ap_geom,f_cov_bg_geom,cov_ap_depthw,cov_bg_depthw,coverage_ok_ap,coverage_ok_bg,coverage_ok_both,good_ap_area,good_bg_area,N_inner_color,N_annulus_color,median_color,median_color_bgsub,median_color_bgsub_geom,N_inner_Pblue,N_annulus_Pblue,Pblue_mean_inner_raw,Pblue_mean_annulus,median_color_inner_raw,median_color_annulus,mean_color_inner_raw,mean_color_annulus,alpha_eff,alpha_geom,N_eff_bgsub_color,N_eff_bgsub_Pblue,N_geom_bgsub_color,N_geom_bgsub_Pblue,sum_Pblue_inner,sum_Pblue_annulus,Pblue_std_inner,Pblue_std_annulus,color_std_inner,color_std_annulus,Pblue_inner_meets_min,Pblue_annulus_nonzero,min_gc_for_Pblue,Pblue_mean,Pblue_mean_err,Pblue_mean_bgsub,Pblue_mean_bgsub_geom,fb,fb_err,fb_bgsub,mu_blue,mu_blue_err,mu_blue_bgsub,mu_red,mu_red_err,mu_red_bgsub,ra,dec,otype,z,Vmag_simbad_raw,Bmag_simbad_raw,BV_simbad_raw,gmag_simbad_raw,rmag_simbad_raw,imag_simbad_raw,zmag_simbad_raw,gr_simbad_raw,gi_simbad_raw,major_axis_arcsec,galdim_minaxis,galdim_angle,dim_source,galdim_qual,galdim_bibcode,dim_ref,MV_simbad_raw,show_label,Re_arcsec,otype_family,morph_type,major_kpc,is_large_E,sdss_objid,Re_r_arcsec,Re_r_arcsec_circ,g_cmodel_sdss,r_cmodel_sdss,i_cmodel_sdss,gerr_cmodel_sdss,rerr_cmodel_sdss,ierr_cmodel_sdss,Ag_sdss,Ar_sdss,Ai_sdss,g0_cmodel_sdss,r0_cmodel_sdss,i0_cmodel_sdss,sdss_phot_ok,gr0_sdss,gi0_sdss,g_model_sdss,r_model_sdss,i_model_sdss,gerr_model_sdss,rerr_model_sdss,ierr_model_sdss,g0_model_sdss,r0_model_sdss,i0_model_sdss,Vmag_sdss,Vmag_sdss_err,V_source,mV_app,mV_src,mV_app_col,gi_primary,gr_primary,color_src,MV_abs,Re_simbad_proxy_arcsec,Re_best_arcsec,Re_best_src,Re_best_is_proxy,Re_GCS_scale,Re_GCS_arcsec,n_gcs_prior,n_gcs_red_prior,n_gcs_blue_prior,gal_color,gal_color_src,minor_axis_arcsec,q_axis,pa_deg,R_NGC 4874_arcmin,R_NGC 4889_arcmin,R_nearBCG_arcmin,nearer_BCG,R_bcg_mid_arcmin,tidal_proxy,R_xray_peak_arcmin,R_sz_peak_arcmin,R_geom_arcmin,R_cluster_arcmin,median_color_exp,Delta_median_color,median_color_bgsub_exp,Delta_median_color_bgsub,Pblue_mean_exp,Delta_Pblue_mean,Pblue_mean_bgsub_exp,Delta_Pblue_mean_bgsub,gc_bg_voronoi_density_arcsec2_inv
LEDA 126771,1847,1890,12631.997217159436,50527.98886863774,25785.0008630146,63914.49796111948,2.041244976525801,1.2649325530704156,1.0,0.9132,2.041244976525801,1.2649325530704156,True,True,True,True,True,1847,1890,1.552212238,0.930003396809992,1.166637636675555,1816,1847,0.5202056371550987,0.553498179113695,1.552212238,1.5072090765,1.5562959508927992,1.53966784799418,0.403429608078908,0.25,1084.518040730864,1070.865513878257,1374.5,1354.25,944.6934370736592,1022.3111368229949,0.2734548505474184,0.2599291937270839,0.3590621588825478,0.3251765337460004,True,True,10,0.5199906429567437,0.0068759512473579,0.2928812920408826,0.3792539776452081,0.5199906429567437,0.0068759512473579,0.2928812920408826,,,,,,,195.015438,27.964525,GiC,0.01778,17.26,18.49,1.2299995,17.207,16.401,16.026,15.919,0.80600166,1.1810017,7.15,,,NED,,,2007SDSS6.C...0000:,-17.74,False,0.89375,Members of systems,,2668.9116594673533,False,1.237667444048724e+18,9.422453,7.926310613697409,17.79433,16.6457,16.29974,0.0094071,0.006945321,0.008212235,0.03074882,0.02127189,0.0158073,17.76358118,16.62442811,16.2839327,True,1.139153069999999,1.479648479999998,17.20481,16.39346,16.02829,0.009123255,0.006616065,0.007813034,17.17406118,16.37218811,16.0124827,17.081480868699998,0.005627364442639,"SDSS(cModelMag g,r)",17.081480868699998,SDSS,Vmag_sdss,1.479648479999998,1.139153069999999,SDSS(cModel extcorr),-17.918519131300002,0.89375,7.926310613697409,SDSS,False,3.2,25.36419396383171,,,,1.479648479999998,g-i,,1.0,0.0,6.189979712058423,1.2259049075518114,1.2259049075518114,NGC 4889,2.6149297151740294,948659310.2687525,4.695446512465112,4.140232257504728,5.284277745147377,4.695446512465112,1.4945691783157269,0.0576430596842734,0.4016860998482581,0.5283172969617338,0.5744374048216385,-0.0544467618648948,0.1400780155523729,0.1528032764885096,0.1173275898291705
SDSS J130033.33+275849.3,13,31,1666.705477008653,6666.82190803461,1666.705477008653,6666.82190803461,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,13,31,1.360935226,0.5010687746923076,0.5010687746923076,13,29,0.6668697469609023,0.6809424025618683,1.360935226,1.442356628,1.4025198015384617,1.4607709092580643,0.25,0.25,5.249999999999998,5.749999999999998,5.249999999999998,5.749999999999998,8.66930671049173,19.747329674294186,0.1960996045488978,0.1591911303422362,0.2308795904432459,0.3179718633750752,True,True,10,0.6754626910190572,0.0537646997331156,0.2957063511287844,0.2957063511287844,0.6754626910190572,0.0537646997331156,0.2957063511287844,,,,,,,195.138894,27.980364,AG?,0.0172,17.93,19.883,1.9529991,19.081,18.425,18.046,17.767,0.65600014,1.0349998,5.6,,,NED,,,2007SDSS6.C...0000:,-17.07,False,0.7,Other,,2023.575699311731,False,1.2376673243346378e+18,2.985155,2.87915143393122,18.883,18.21784,17.98378,0.01951113,0.01799711,0.0203615,0.0350279,0.02423214,0.01800708,18.8479721,18.19360786,17.96577292,True,0.6543642399999996,0.8821991800000006,19.07247,18.41958,18.04261,0.01881794,0.01724832,0.01971573,19.0374421,18.39534786,18.02460292,18.4518971984,0.0132944048221074,"SDSS(cModelMag g,r)",18.4518971984,SDSS,Vmag_sdss,0.8821991800000006,0.6543642399999996,SDSS(cModel extcorr),-16.548102801600002,0.7,2.87915143393122,SDSS,False,3.2,9.213284588579905,,,,0.8821991800000006,g-i,,1.0,0.0,12.78648642089626,5.575562057885486,5.575562057885486,NGC 4889,9.176988092179403,10558192.339535872,11.238010979748395,10.585858629837157,11.548665794849926,11.238010979748395,1.4652957355097604,-0.1043605095097603,0.238922185497979,0.2621465891943285,0.5849925285451575,0.0904701624738997,0.0937198673501603,0.201986483778624,0.0051238613513063
2MASX J12592536+2756038,73,119,966.9935228760526,3867.97409150421,966.9935228760526,3867.97409150421,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,73,119,1.555319161,0.9389248209863011,0.9389248209863011,68,116,0.5789737062896378,0.5913540061978431,1.555319161,1.512497036,1.5471162933287672,1.5054329991428568,0.25,0.25,43.25,39.0,43.25,39.0,39.37021202769537,68.5970647189498,0.2121179178802023,0.2194178838988563,0.2363051602316906,0.2519895106870705,True,True,10,0.5806223311644697,0.0255929615889612,0.3284272402859778,0.3284272402859778,0.5806223311644697,0.0255929615889612,0.3284272402859778,,,,,,,194.85557934601,27.93449232493,GiC,0.02531,17.02,18.094,1.0739994,17.578,16.871,16.55,16.316,0.7069988,1.0279999,8.579999923706055,0.143,90.0,SIMBAD,C,2006AJ....131.1163S,,-17.98,False,1.0724999904632568,Members of systems,E/S0,4517.585880691035,False,1.2376674440486584e+18,2.307695,2.193041545887024,17.54884,16.90173,16.5925,0.006365186,0.005119016,0.005765975,0.03608074,0.02496049,0.01854832,17.51275926,16.87676951,16.57395168,True,0.6359897500000002,0.9388075799999988,17.57126,16.86209,16.54906,0.006325855,0.005087877,0.005734589,17.53517926,16.837129509999997,16.53051168,17.127525307499997,0.0039915406321228,"SDSS(cModelMag g,r)",17.127525307499997,SDSS,Vmag_sdss,0.9388075799999988,0.6359897500000002,SDSS(cModel extcorr),-17.872474692500003,1.0724999904632568,2.193041545887024,SDSS,False,3.0,6.579124637661071,,,,0.9388075799999988,g-i,8.58,1.0,90.0,2.729744081742917,9.780915934680484,2.729744081742917,NGC 4874,6.203938961804454,55677532.40481717,4.366033477022266,4.8557645708570965,4.412367571661328,4.366033477022266,1.4935856237443654,0.0617335372556344,0.3962174164045995,0.5427074045817017,0.5747920450413887,0.005830286123081,0.1385204342017149,0.1899068060842629,0.032140793971437
GMP 2550,0,0,0.0763276446679605,0.3053105786718418,0.0763276446679605,0.3053105786718418,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,0,0,,,,0,0,,,,,,,0.2500000000000001,0.2500000000000001,0.0,0.0,0.0,0.0,,,,,,,False,False,10,,,,,,,,,,,,,,195.16241666666667,28.00980555555556,G,0.0197870221271543,18.45,19.149,0.6989994,18.84,,,17.14,,,5.64,,,NED,,,2007SDSS6.C...0000:,-16.55,False,0.705,Regular galaxies,Sa,2337.200564489691,False,1.2376673243347026e+18,0.03022349,0.0194839051715349,25.11438,24.80202,24.3618,0.9671926,0.9461214,1.06993,0.03529272,0.02441534,0.01814322,25.07908728,24.77760466,24.34365678,True,0.3014826200000016,0.7354304999999997,25.11438,24.80202,24.3618,0.7037622,0.7457531,0.7792174,25.07908728,24.77760466,24.34365678,24.8912125342,0.6847271732867282,"SDSS(cModelMag g,r)",24.8912125342,SDSS,Vmag_sdss,0.7354304999999997,0.3014826200000016,SDSS(cModel extcorr),-10.108787465800004,0.705,0.0194839051715349,SDSS,False,3.0,0.0584517155146048,,,,0.7354304999999997,g-i,,1.0,0.0,14.293750168346756,7.095479904962103,7.095479904962103,NGC 4889,10.68914735252012,5243609.097782694,12.687443740561982,12.348553607574654,13.39181096772086,12.687443740561982,,,,,,,,,
SDSS J125942.36+280158.5,7,12,154.3781771566678,617.512708626671,154.3781771566678,617.512708626671,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,7,12,1.367043829,0.8183029244285713,0.8183029244285713,7,12,0.6919495210728154,0.7389212668907436,1.367043829,1.2803954439999998,1.416139351571429,1.3235364610833331,0.25,0.25,3.999999999999999,3.999999999999999,3.999999999999999,3.999999999999999,4.843646647509708,8.867055202688922,0.0845812545641164,0.1041185392422277,0.1736924260432634,0.2725789748283186,False,True,10,,,,,,,,,,,,,,194.92654,28.03292,G,0.0263,18.76,,,,,,,,,7.01,,,NED,,,2007SDSS6.C...0000:,-16.24,False,0.87625,Regular galaxies,,3830.719656152631,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,18.76000022888184,SIMBAD,,,,,-16.239999771118164,0.87625,0.87625,SIMBAD_proxy(maj/8),True,3.2,2.8040000000000003,,,,,,,1.0,0.0,4.658388816802186,6.5950896621409445,4.658388816802186,NGC 4874,4.420100998732925,16892294.263873734,3.739317684323733,6.205568933008458,7.239094258789691,3.739317684323733,1.4587143512649234,-0.0916705222649234,0.2023288859454368,0.6159740384831345,,,,,0.0187604855567796
[EDG2007] 265,0,0,,,,,,,,,,,False,False,False,False,False,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,False,False,10,,,,,,,,,,,,,,194.9585970391,27.926986743809994,G,0.0324991497951559,18.7,19.808,1.1079998,,,,16.79,,,,,,,,,,-16.3,False,,Regular galaxies,S0,,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,18.700000762939453,SIMBAD,,,,,-16.299999237060547,,,,False,3.0,,,,,1.1079998016357422,B-V,,1.0,0.0,3.714364178304284,4.987373806968976,3.714364178304284,NGC 4874,2.502206745942982,35382194.38556053,3.1039547875919764,0.6575491425886265,1.5233465223901923,3.1039547875919764,,,,,,,,,
SDSS J125926.45+275124.7,7,10,522.1940241795347,2088.7760967181384,522.1940241795347,2088.7760967181384,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,7,10,1.535569439,0.994080294,0.994080294,7,10,0.6467180082538568,0.6607969401342378,1.535569439,1.516169606,1.5233003150000002,1.4991500977,0.25,0.25,4.5,4.5,4.5,4.5,4.527026057776998,6.607969401342379,0.1421517848934979,0.1335798511459966,0.1394301033975799,0.1935846995900785,False,True,10,,,,,,,,,,,,,,194.860237,27.856882,AG?,0.0166,17.72,19.12,1.4000015,18.222,17.548,17.219,17.109,0.6739998,1.0030003,5.7,,,NED,,,2007SDSS6.C...0000:,-17.28,False,0.7125,Other,,1989.313383896663,False,1.2376674440486587e+18,1.636773,1.6115768694940298,18.40277,17.78439,17.48174,0.01155121,0.009478468,0.01134825,0.03713348,0.02568877,0.01908951,18.36563652,17.75870123,17.462650489999998,True,0.6069352899999991,0.902986030000001,18.21467,17.54108,17.2171,0.01133046,0.009241914,0.01105062,18.17753652,17.515391230000002,17.198010489999998,17.997544698899997,0.0073282627513608,"SDSS(cModelMag g,r)",17.997544698899997,SDSS,Vmag_sdss,0.902986030000001,0.6069352899999991,SDSS(cModel extcorr),-17.002455301100003,0.7125,1.6115768694940298,SDSS,False,3.2,5.157045982380896,,,,0.902986030000001,g-i,,1.0,0.0,6.473196152724098,11.686638514517265,6.473196152724098,NGC 4874,8.726999228596645,5125597.822852792,7.689057200125938,6.40682711892343,5.182358592542751,7.689057200125938,1.4750011524838655,0.0605682865161345,0.292885488262798,0.7011948057372019,,,,,0.0045337365479023
[EDG2007] 205,0,0,15.904312808798329,63.61725123519331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0,0,,,,0,0,,,,,,,,0.25,,,0.0,0.0,,,,,,,False,False,10,,,,,,,,,,,,,,194.95266666666663,28.06555555555555,G,0.0248738745789262,16.402,16.86,0.45800018,,,,15.43,,,2.25,,,NED,,,2007SDSS6.C...0000:,-18.598,False,0.28125,Regular galaxies,S0,1164.8829837900923,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,16.402000427246094,SIMBAD,,,,,-18.597999572753903,0.28125,0.28125,SIMBAD_proxy(maj/8),True,3.0,0.84375,,,,0.4580001831054687,B-V,,1.0,0.0,6.987802776110886,6.83039169356473,6.83039169356473,NGC 4889,5.889335488482466,8666233.075343845,5.8560654656329945,8.072721870488818,9.230912364552152,5.8560654656329945,,,,,,,,,
SDSS J125928.50+280109.3,10,29,450.5119653627032,1802.047861450813,450.5119653627032,1802.047861450813,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,10,29,1.562636256,0.5204628760999999,0.5204628760999999,10,27,0.5042139919818964,0.5809048103780458,1.562636256,1.437480524,1.6329890269999996,1.4611846149655177,0.25,0.25,2.7499999999999982,3.2499999999999982,2.7499999999999982,3.2499999999999982,5.042139919818964,15.684429880207237,0.2779220804551442,0.2259240977634191,0.3420769324355043,0.2616508717958837,True,True,10,0.5083935097855841,0.0745060884988394,0.1162827627804031,0.1162827627804031,0.5083935097855841,0.0745060884988394,0.1162827627804031,,,,,,,194.868763,28.01926,AG?,0.02,18.07,19.32,1.25,18.957,18.273,17.981,17.7,0.684,0.97599983,,,,,,,,-16.93,False,,Other,dE...,,False,1.2376673243345715e+18,1.546279,1.4968843288803138,19.44061,18.70204,18.3377,0.01648695,0.01424145,0.01676991,0.02756381,0.01906852,0.01416995,19.41304619,18.68297148,18.32353005,True,0.7300747100000002,1.089516139999997,19.37617,18.70203,18.37457,0.01651298,0.01424145,0.0165647,19.34860619,18.68296148,18.36040005,18.9723021111,0.0107839751387107,"SDSS(cModelMag g,r)",18.9723021111,SDSS,Vmag_sdss,1.089516139999997,0.7300747100000002,SDSS(cModel extcorr),-16.027697888900004,,1.4968843288803138,SDSS,False,3.2,4.790029852417004,,,,1.089516139999997,g-i,,1.0,0.0,3.9364758003449736,9.099940169738574,3.9364758003449736,NGC 4874,6.007658358463847,20254446.13837329,4.251613668608372,6.723889558154812,7.304298487099928,4.251613668608372,1.4541793739211606,0.1084568820788394,0.177113858493652,0.3433490176063478,0.5890007544549275,-0.0806072446693434,0.0761157221387651,0.0401670406416379,0.0160229184353294
LEDA 1821898,23,55,333.80440259420726,1335.2176103768288,333.80440259420726,1335.2176103768288,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,23,55,1.613631065,0.7022000344565217,0.7022000344565217,19,54,0.541367240765754,0.6035390671764868,1.613631065,1.524575542,1.5972501062173914,1.5342421124545458,0.25,0.25,9.249999999999996,5.4999999999999964,9.249999999999996,5.4999999999999964,10.285977574549326,32.59110962753029,0.1832928370676432,0.2091747874333467,0.1460794116776286,0.2131762177176966,True,True,10,0.5445802855955217,0.0409162703738685,0.1157498957595968,0.1157498957595968,0.5445802855955217,0.0409162703738685,0.1157498957595968,,,,,,,194.89658333333333,27.934722222222224,GiC,0.013986,18.055,18.894,0.8389988,19.052,18.382,18.634,17.93,0.6700001,0.41799927,18.0,0.22,140.0,SIMBAD,E,2003A&A...412...45P,,-16.945,False,2.25,Members of systems,dE,5309.701121044464,False,1.2376674440486584e+18,1.644091,1.504632345685636,19.03822,18.33431,18.69287,0.02135029,0.01277457,0.03714409,0.03265684,0.02259186,0.01678817,19.00556316,18.31171814,18.67608183,True,0.6938450199999977,0.3294813300000001,19.04652,18.37262,18.63309,0.01436916,0.01167669,0.0226659,19.01386316,18.350028140000003,18.61630183,18.586194598199995,0.0115512837846124,"SDSS(cModelMag g,r)",18.586194598199995,SDSS,Vmag_sdss,0.3294813300000001,0.6938450199999977,SDSS(cModel extcorr),-16.413805401800005,2.25,1.504632345685636,SDSS,False,3.2,4.814823506194036,,,,0.3294813300000001,g-i,13.2,0.7333333333333333,140.0,1.4762016110232756,7.699363667759468,1.4762016110232756,NGC 4874,4.202187406603415,344110770.7383304,2.6925663184285145,2.686683262469344,2.434267919951952,2.6925663184285145,1.4624270107530322,0.1512040542469679,0.2229717257692212,0.4792283086873005,0.58602690447889,-0.0414466188833683,0.0891768838580832,0.0265730119015136,0.0405298283625148
