name,N_inner,N_annulus,A_ap_geom,A_bg_geom,A_ap_eff,A_bg_eff,A_ap_eff_over_geom,A_bg_eff_over_geom,f_cov_ap_geom,f_cov_bg_geom,cov_ap_depthw,cov_bg_depthw,coverage_ok_ap,coverage_ok_bg,coverage_ok_both,good_ap_area,good_bg_area,N_inner_color,N_annulus_color,median_color,median_color_bgsub,median_color_bgsub_geom,N_inner_Pblue,N_annulus_Pblue,Pblue_mean_inner_raw,Pblue_mean_annulus,median_color_inner_raw,median_color_annulus,mean_color_inner_raw,mean_color_annulus,alpha_eff,alpha_geom,N_eff_bgsub_color,N_eff_bgsub_Pblue,N_geom_bgsub_color,N_geom_bgsub_Pblue,sum_Pblue_inner,sum_Pblue_annulus,Pblue_std_inner,Pblue_std_annulus,color_std_inner,color_std_annulus,Pblue_inner_meets_min,Pblue_annulus_nonzero,min_gc_for_Pblue,Pblue_mean,Pblue_mean_err,Pblue_mean_bgsub,Pblue_mean_bgsub_geom,fb,fb_err,fb_bgsub,mu_blue,mu_blue_err,mu_blue_bgsub,mu_red,mu_red_err,mu_red_bgsub,ra,dec,otype,z,Vmag_simbad_raw,Bmag_simbad_raw,BV_simbad_raw,gmag_simbad_raw,rmag_simbad_raw,imag_simbad_raw,zmag_simbad_raw,gr_simbad_raw,gi_simbad_raw,major_axis_arcsec,galdim_minaxis,galdim_angle,dim_source,galdim_qual,galdim_bibcode,dim_ref,MV_simbad_raw,show_label,Re_arcsec,otype_family,morph_type,major_kpc,is_large_E,sdss_objid,Re_r_arcsec,Re_r_arcsec_circ,g_cmodel_sdss,r_cmodel_sdss,i_cmodel_sdss,gerr_cmodel_sdss,rerr_cmodel_sdss,ierr_cmodel_sdss,Ag_sdss,Ar_sdss,Ai_sdss,g0_cmodel_sdss,r0_cmodel_sdss,i0_cmodel_sdss,sdss_phot_ok,gr0_sdss,gi0_sdss,g_model_sdss,r_model_sdss,i_model_sdss,gerr_model_sdss,rerr_model_sdss,ierr_model_sdss,g0_model_sdss,r0_model_sdss,i0_model_sdss,Vmag_sdss,Vmag_sdss_err,V_source,mV_app,mV_src,mV_app_col,gi_primary,gr_primary,color_src,MV_abs,Re_simbad_proxy_arcsec,Re_best_arcsec,Re_best_src,Re_best_is_proxy,Re_GCS_scale,Re_GCS_arcsec,n_gcs_prior,n_gcs_red_prior,n_gcs_blue_prior,gal_color,gal_color_src,minor_axis_arcsec,q_axis,pa_deg,R_NGC 4874_arcmin,R_NGC 4889_arcmin,R_nearBCG_arcmin,nearer_BCG,R_bcg_mid_arcmin,tidal_proxy,R_xray_peak_arcmin,R_sz_peak_arcmin,R_geom_arcmin,R_cluster_arcmin,median_color_exp,Delta_median_color,median_color_bgsub_exp,Delta_median_color_bgsub,Pblue_mean_exp,Delta_Pblue_mean,Pblue_mean_bgsub_exp,Delta_Pblue_mean_bgsub,gc_bg_voronoi_density_arcsec2_inv
LEDA 126771,2913,1332,19737.495651811616,78949.98260724648,40289.0638484603,79189.97721516124,2.041244976525801,1.003039831042252,1.0,0.9162,2.041244976525801,1.003039831042252,True,True,True,True,True,2913,1332,1.581370229,1.237227075277032,1.412262995554583,2788,1284,0.513898872325893,0.5914721414322879,1.581370229,1.4793074205,1.587599427402678,1.5076181532537538,0.5087646854474255,0.2499999999999999,2235.325438984029,2134.7461438855057,2580.0,2467.0,1432.75005604459,759.4502295990576,0.2735103208538518,0.2366071449121003,0.3662200558198329,0.3066933476701721,True,True,10,0.5138018241856961,0.0055149596361887,0.375214500952217,0.4457019112015625,0.5138018241856961,0.0055149596361887,0.375214500952217,,,,,,,195.015438,27.964525,GiC,0.01778,17.26,18.49,1.2299995,17.207,16.401,16.026,15.919,0.80600166,1.1810017,7.15,,,NED,,,2007SDSS6.C...0000:,-17.74,False,0.89375,Members of systems,,2668.9116594673533,False,1.237667444048724e+18,9.422453,7.926310613697409,17.79433,16.6457,16.29974,0.0094071,0.006945321,0.008212235,0.03074882,0.02127189,0.0158073,17.76358118,16.62442811,16.2839327,True,1.139153069999999,1.479648479999998,17.20481,16.39346,16.02829,0.009123255,0.006616065,0.007813034,17.17406118,16.37218811,16.0124827,17.081480868699998,0.005627364442639,"SDSS(cModelMag g,r)",17.081480868699998,SDSS,Vmag_sdss,1.479648479999998,1.139153069999999,SDSS(cModel extcorr),-17.918519131300002,0.89375,7.926310613697409,SDSS,False,3.2,25.36419396383171,,,,1.479648479999998,g-i,,1.0,0.0,6.189979712058423,1.2259049075518114,1.2259049075518114,NGC 4889,2.6149297151740294,948659310.2687525,4.695446512465112,4.140232257504728,5.284277745147377,4.695446512465112,1.4902218608265896,0.0911483681734104,0.2969821269167743,0.9402449483602576,0.5823976658331005,-0.0685958416474044,0.0995085515643295,0.2757059493878875,0.0252987031463179
SDSS J130033.33+275849.3,16,56,2604.22730782602,10416.909231304076,2604.22730782602,10416.909231304076,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,16,56,1.3802177035,0.1141442458124992,0.1141442458124992,15,53,0.6610717657567892,0.6603874264563458,1.3802177035,1.4469410945,1.430039377125,1.494349813857143,0.2500000000000001,0.2500000000000001,1.999999999999993,1.749999999999995,1.999999999999993,1.749999999999995,9.916076486351836,35.00053360218633,0.1939348196166011,0.1875278715163999,0.2212727856582943,0.2500004752492329,True,True,10,0.6636068178848493,0.046235300653107,0.0802645911817435,0.0802645911817435,0.6636068178848493,0.046235300653107,0.0802645911817435,,,,,,,195.138894,27.980364,AG?,0.0172,17.93,19.883,1.9529991,19.081,18.425,18.046,17.767,0.65600014,1.0349998,5.6,,,NED,,,2007SDSS6.C...0000:,-17.07,False,0.7,Other,,2023.575699311731,False,1.2376673243346378e+18,2.985155,2.87915143393122,18.883,18.21784,17.98378,0.01951113,0.01799711,0.0203615,0.0350279,0.02423214,0.01800708,18.8479721,18.19360786,17.96577292,True,0.6543642399999996,0.8821991800000006,19.07247,18.41958,18.04261,0.01881794,0.01724832,0.01971573,19.0374421,18.39534786,18.02460292,18.4518971984,0.0132944048221074,"SDSS(cModelMag g,r)",18.4518971984,SDSS,Vmag_sdss,0.8821991800000006,0.6543642399999996,SDSS(cModel extcorr),-16.548102801600002,0.7,2.87915143393122,SDSS,False,3.2,9.213284588579905,,,,0.8821991800000006,g-i,,1.0,0.0,12.78648642089626,5.575562057885486,5.575562057885486,NGC 4889,9.176988092179403,10558192.339535872,11.238010979748395,10.585858629837157,11.548665794849926,11.238010979748395,1.4674073150172553,-0.0871896115172552,0.1596458445022437,-0.0455015986897444,0.5931064827623356,0.0705003351225137,0.0564549214928672,0.0238096696888762,0.0067810085257876
2MASX J12592536+2756038,94,162,1510.9273794938322,6043.709517975329,1510.9273794938322,6043.709517975329,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,94,162,1.5536054895,0.9062937665345744,0.9062937665345744,88,158,0.5760568593734868,0.61152641609004,1.5536054895,1.5024025175,1.548995755319149,1.491130199648148,0.25,0.25,53.5,48.5,53.5,48.5,50.69300362486684,96.62117374222632,0.2242521145352458,0.215809303547691,0.2488643510302556,0.2694440325622939,True,True,10,0.577713285465592,0.0234992720707934,0.3032213146069945,0.3032213146069945,0.577713285465592,0.0234992720707934,0.3032213146069945,,,,,,,194.85557934601,27.93449232493,GiC,0.02531,17.02,18.094,1.0739994,17.578,16.871,16.55,16.316,0.7069988,1.0279999,8.579999923706055,0.143,90.0,SIMBAD,C,2006AJ....131.1163S,,-17.98,False,1.0724999904632568,Members of systems,E/S0,4517.585880691035,False,1.2376674440486584e+18,2.307695,2.193041545887024,17.54884,16.90173,16.5925,0.006365186,0.005119016,0.005765975,0.03608074,0.02496049,0.01854832,17.51275926,16.87676951,16.57395168,True,0.6359897500000002,0.9388075799999988,17.57126,16.86209,16.54906,0.006325855,0.005087877,0.005734589,17.53517926,16.837129509999997,16.53051168,17.127525307499997,0.0039915406321228,"SDSS(cModelMag g,r)",17.127525307499997,SDSS,Vmag_sdss,0.9388075799999988,0.6359897500000002,SDSS(cModel extcorr),-17.872474692500003,1.0724999904632568,2.193041545887024,SDSS,False,3.0,6.579124637661071,,,,0.9388075799999988,g-i,8.58,1.0,90.0,2.729744081742917,9.780915934680484,2.729744081742917,NGC 4874,6.203938961804454,55677532.40481717,4.366033477022266,4.8557645708570965,4.412367571661328,4.366033477022266,1.4894553178895993,0.0641501716104007,0.292367783148673,0.6139259833859013,0.5827574699707427,-0.0050441845051507,0.0980619982856064,0.205159316321388,0.0302336910982423
GMP 2550,0,0,0.1192619447936882,0.4770477791747531,0.1192619447936882,0.4770477791747531,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,0,0,,,,0,0,,,,,,,0.2499999999999999,0.2499999999999999,0.0,0.0,0.0,0.0,,,,,,,False,False,10,,,,,,,,,,,,,,195.16241666666667,28.00980555555556,G,0.0197870221271543,18.45,19.149,0.6989994,18.84,,,17.14,,,5.64,,,NED,,,2007SDSS6.C...0000:,-16.55,False,0.705,Regular galaxies,Sa,2337.200564489691,False,1.2376673243347026e+18,0.03022349,0.0194839051715349,25.11438,24.80202,24.3618,0.9671926,0.9461214,1.06993,0.03529272,0.02441534,0.01814322,25.07908728,24.77760466,24.34365678,True,0.3014826200000016,0.7354304999999997,25.11438,24.80202,24.3618,0.7037622,0.7457531,0.7792174,25.07908728,24.77760466,24.34365678,24.8912125342,0.6847271732867282,"SDSS(cModelMag g,r)",24.8912125342,SDSS,Vmag_sdss,0.7354304999999997,0.3014826200000016,SDSS(cModel extcorr),-10.108787465800004,0.705,0.0194839051715349,SDSS,False,3.0,0.0584517155146048,,,,0.7354304999999997,g-i,,1.0,0.0,14.293750168346756,7.095479904962103,7.095479904962103,NGC 4889,10.68914735252012,5243609.097782694,12.687443740561982,12.348553607574654,13.39181096772086,12.687443740561982,,,,,,,,,
SDSS J125942.36+280158.5,9,13,241.2159018072934,964.8636072291738,241.2159018072934,964.8636072291738,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,9,13,1.481318466,0.9841085496944446,0.9841085496944446,9,13,0.6675478204332598,0.6458615867910952,1.481318466,1.376888999,1.4508530847777776,1.4692729697692308,0.2499999999999999,0.2499999999999999,5.750000000000001,5.750000000000001,5.750000000000001,5.750000000000001,6.007930383899338,8.396200628284237,0.1034302448266167,0.1881438054095901,0.1715907616134664,0.2794995004997929,False,True,10,,,,,,,,,,,,,,194.92654,28.03292,G,0.0263,18.76,,,,,,,,,7.01,,,NED,,,2007SDSS6.C...0000:,-16.24,False,0.87625,Regular galaxies,,3830.719656152631,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,18.76000022888184,SIMBAD,,,,,-16.239999771118164,0.87625,0.87625,SIMBAD_proxy(maj/8),True,3.2,2.8040000000000003,,,,,,,1.0,0.0,4.658388816802186,6.5950896621409445,4.658388816802186,NGC 4874,4.420100998732925,16892294.263873734,3.739317684323733,6.205568933008458,7.239094258789691,3.739317684323733,1.4622780484209783,0.0190404175790217,0.1287692970691805,0.8553392526252641,,,,,0.0168501881342687
[EDG2007] 265,0,0,,,,,,,,,,,False,False,False,False,False,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,False,False,10,,,,,,,,,,,,,,194.9585970391,27.926986743809994,G,0.0324991497951559,18.7,19.808,1.1079998,,,,16.79,,,,,,,,,,-16.3,False,,Regular galaxies,S0,,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,18.700000762939453,SIMBAD,,,,,-16.299999237060547,,,,False,3.0,,,,,1.1079998016357422,B-V,,1.0,0.0,3.714364178304284,4.987373806968976,3.714364178304284,NGC 4874,2.502206745942982,35382194.38556053,3.1039547875919764,0.6575491425886265,1.5233465223901923,3.1039547875919764,,,,,,,,,
SDSS J125926.45+275124.7,8,23,815.9281627805228,3263.712651122092,815.9281627805228,3263.712651122092,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,8,23,1.4971619525,0.36537650709375,0.36537650709375,8,22,0.6633890100768464,0.5534015159030616,1.4971619525,1.574658011,1.50507443025,1.645398193173913,0.25,0.25,2.25,2.5,2.25,2.5,5.307112080614771,12.174833349867356,0.1397990540486302,0.2318887697938302,0.138999878415309,0.2735354145465228,False,True,10,,,,,,,,,,,,,,194.860237,27.856882,AG?,0.0166,17.72,19.12,1.4000015,18.222,17.548,17.219,17.109,0.6739998,1.0030003,5.7,,,NED,,,2007SDSS6.C...0000:,-17.28,False,0.7125,Other,,1989.313383896663,False,1.2376674440486587e+18,1.636773,1.6115768694940298,18.40277,17.78439,17.48174,0.01155121,0.009478468,0.01134825,0.03713348,0.02568877,0.01908951,18.36563652,17.75870123,17.462650489999998,True,0.6069352899999991,0.902986030000001,18.21467,17.54108,17.2171,0.01133046,0.009241914,0.01105062,18.17753652,17.515391230000002,17.198010489999998,17.997544698899997,0.0073282627513608,"SDSS(cModelMag g,r)",17.997544698899997,SDSS,Vmag_sdss,0.902986030000001,0.6069352899999991,SDSS(cModel extcorr),-17.002455301100003,0.7125,1.6115768694940298,SDSS,False,3.2,5.157045982380896,,,,0.902986030000001,g-i,,1.0,0.0,6.473196152724098,11.686638514517265,6.473196152724098,NGC 4874,8.726999228596645,5125597.822852792,7.689057200125938,6.40682711892343,5.182358592542751,7.689057200125938,1.4749713272730764,0.0221906252269235,0.2051787835330707,0.1601977235606793,,,,,0.0081152262301552
[EDG2007] 205,0,0,24.850488763747386,99.40195505498954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0,0,,,,0,0,,,,,,,,0.25,,,0.0,0.0,,,,,,,False,False,10,,,,,,,,,,,,,,194.95266666666663,28.06555555555555,G,0.0248738745789262,16.402,16.86,0.45800018,,,,15.43,,,2.25,,,NED,,,2007SDSS6.C...0000:,-18.598,False,0.28125,Regular galaxies,S0,1164.8829837900923,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,16.402000427246094,SIMBAD,,,,,-18.597999572753903,0.28125,0.28125,SIMBAD_proxy(maj/8),True,3.0,0.84375,,,,0.4580001831054687,B-V,,1.0,0.0,6.987802776110886,6.83039169356473,6.83039169356473,NGC 4889,5.889335488482466,8666233.075343845,5.8560654656329945,8.072721870488818,9.230912364552152,5.8560654656329945,,,,,,,,,
SDSS J125928.50+280109.3,13,38,703.9249458792237,2815.6997835168945,703.9249458792237,2815.6997835168945,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,13,38,1.53265759,0.4706719868076918,0.4706719868076918,13,35,0.544634153285399,0.6234445629287818,1.53265759,1.453243457,1.5860752425384612,1.4965288458947368,0.25,0.25,3.4999999999999982,4.249999999999998,3.4999999999999982,4.249999999999998,7.080243992710187,21.820559702507364,0.259306687298994,0.1822797597346168,0.3154018312599912,0.2674663141601264,True,True,10,0.5458707282852414,0.0687850900371604,0.1262445801600997,0.1262445801600997,0.5458707282852414,0.0687850900371604,0.1262445801600997,,,,,,,194.868763,28.01926,AG?,0.02,18.07,19.32,1.25,18.957,18.273,17.981,17.7,0.684,0.97599983,,,,,,,,-16.93,False,,Other,dE...,,False,1.2376673243345715e+18,1.546279,1.4968843288803138,19.44061,18.70204,18.3377,0.01648695,0.01424145,0.01676991,0.02756381,0.01906852,0.01416995,19.41304619,18.68297148,18.32353005,True,0.7300747100000002,1.089516139999997,19.37617,18.70203,18.37457,0.01651298,0.01424145,0.0165647,19.34860619,18.68296148,18.36040005,18.9723021111,0.0107839751387107,"SDSS(cModelMag g,r)",18.9723021111,SDSS,Vmag_sdss,1.089516139999997,0.7300747100000002,SDSS(cModel extcorr),-16.027697888900004,,1.4968843288803138,SDSS,False,3.2,4.790029852417004,,,,1.089516139999997,g-i,,1.0,0.0,3.9364758003449736,9.099940169738574,3.9364758003449736,NGC 4874,6.007658358463847,20254446.13837329,4.251613668608372,6.723889558154812,7.304298487099928,4.251613668608372,1.458743669187235,0.0739139208127648,0.1074934624037891,0.3631785244039027,0.5971730724682527,-0.0513023441830112,0.0401056412681766,0.086138938891923,0.01438671447416
LEDA 1821898,31,81,521.5693790534488,2086.2775162137955,521.5693790534488,2086.2775162137955,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,31,81,1.608183789,0.6517113550887098,0.6517113550887098,27,79,0.5720096544938058,0.6618595761162522,1.608183789,1.464229405,1.569897891451613,1.4684961026543213,0.2499999999999999,0.2499999999999999,10.750000000000004,7.2500000000000036,10.750000000000004,7.2500000000000036,15.444260671332756,52.28690651318393,0.174244481320405,0.1765517322840218,0.163057708396318,0.2086602074809829,True,True,10,0.5749043052630911,0.0312095656269989,0.0907662819928696,0.0907662819928696,0.5749043052630911,0.0312095656269989,0.0907662819928696,,,,,,,194.89658333333333,27.934722222222224,GiC,0.013986,18.055,18.894,0.8389988,19.052,18.382,18.634,17.93,0.6700001,0.41799927,18.0,0.22,140.0,SIMBAD,E,2003A&A...412...45P,,-16.945,False,2.25,Members of systems,dE,5309.701121044464,False,1.2376674440486584e+18,1.644091,1.504632345685636,19.03822,18.33431,18.69287,0.02135029,0.01277457,0.03714409,0.03265684,0.02259186,0.01678817,19.00556316,18.31171814,18.67608183,True,0.6938450199999977,0.3294813300000001,19.04652,18.37262,18.63309,0.01436916,0.01167669,0.0226659,19.01386316,18.350028140000003,18.61630183,18.586194598199995,0.0115512837846124,"SDSS(cModelMag g,r)",18.586194598199995,SDSS,Vmag_sdss,0.3294813300000001,0.6938450199999977,SDSS(cModel extcorr),-16.413805401800005,2.25,1.504632345685636,SDSS,False,3.2,4.814823506194036,,,,0.3294813300000001,g-i,13.2,0.7333333333333333,140.0,1.4762016110232756,7.699363667759468,1.4762016110232756,NGC 4874,4.202187406603415,344110770.7383304,2.6925663184285145,2.686683262469344,2.434267919951952,2.6925663184285145,1.4651715461392805,0.1430122428607194,0.1461872296078143,0.5055241254808954,0.5941559202488585,-0.0192516149857674,0.0522357725778699,0.0385305094149996,0.0468218212334916
