name,N_inner,N_annulus,A_ap_geom,A_ann_geom,A_ap_eff,A_ann_eff,A_ap_eff_over_geom,A_ann_eff_over_geom,f_cov_ap_geom,f_cov_ann_geom,cov_ap_depthw,cov_ann_depthw,coverage_ok_ap,coverage_ok_ann,coverage_ok_both,good_ap_area,good_ann_area,N_inner_color,N_annulus_color,median_color,N_inner_Pblue,N_annulus_Pblue,matched_color_Pblue_samples,Pblue_mean_inner,Pblue_mean_annulus,median_color_inner,median_color_annulus,mean_color_inner,mean_color_annulus,Pblue_mean_IE_contrast,mean_color_IE_contrast,median_color_IE_contrast,alpha_eff,alpha_geom,sum_Pblue_inner,sum_Pblue_annulus,Pblue_std_inner,Pblue_std_annulus,color_std_inner,color_std_annulus,Pblue_inner_meets_min,Pblue_annulus_nonzero,min_gc_for_Pblue,Pblue_mean,Pblue_mean_err,fb,fb_err,mu_blue,mu_blue_err,mu_red,mu_red_err,ra,dec,otype,z,Vmag_simbad_raw,Bmag_simbad_raw,BV_simbad_raw,gmag_simbad_raw,rmag_simbad_raw,imag_simbad_raw,zmag_simbad_raw,gr_simbad_raw,gi_simbad_raw,major_axis_arcsec,galdim_minaxis,galdim_angle,dim_source,galdim_qual,galdim_bibcode,dim_ref,MV_simbad_raw,show_label,Re_arcsec,otype_family,morph_type,major_kpc,is_large_E,sdss_objid,Re_r_arcsec,Re_r_arcsec_circ,g_cmodel_sdss,r_cmodel_sdss,i_cmodel_sdss,gerr_cmodel_sdss,rerr_cmodel_sdss,ierr_cmodel_sdss,Ag_sdss,Ar_sdss,Ai_sdss,g0_cmodel_sdss,r0_cmodel_sdss,i0_cmodel_sdss,sdss_phot_ok,gr0_sdss,gi0_sdss,g_model_sdss,r_model_sdss,i_model_sdss,gerr_model_sdss,rerr_model_sdss,ierr_model_sdss,g0_model_sdss,r0_model_sdss,i0_model_sdss,Vmag_sdss,Vmag_sdss_err,V_source,mV_app,mV_src,mV_app_col,gi_primary,gr_primary,color_src,MV_abs,Re_simbad_proxy_arcsec,Re_best_arcsec,Re_best_src,Re_best_is_proxy,Re_GCS_scale,Re_GCS_arcsec,n_gcs_prior,n_gcs_red_prior,n_gcs_blue_prior,gal_color,gal_color_src,minor_axis_arcsec,q_axis,pa_deg,R_NGC 4874_arcmin,R_NGC 4889_arcmin,R_nearBCG_arcmin,nearer_BCG,R_bcg_mid_arcmin,tidal_proxy,R_xray_peak_arcmin,R_sz_peak_arcmin,R_geom_arcmin,R_cluster_arcmin,median_color_inner_exp,Delta_median_color_inner,median_color_annulus_exp,Delta_median_color_annulus,median_color_IE_contrast_exp,Delta_median_color_IE_contrast,mean_color_inner_exp,Delta_mean_color_inner,mean_color_annulus_exp,Delta_mean_color_annulus,mean_color_IE_contrast_exp,Delta_mean_color_IE_contrast,Pblue_mean_inner_exp,Delta_Pblue_mean_inner,Pblue_mean_annulus_exp,Delta_Pblue_mean_annulus,Pblue_mean_IE_contrast_exp,Delta_Pblue_mean_IE_contrast,gc_voronoi_density_arcsec2_inv
LEDA 126771,1847,1890,12631.997217159436,50527.98886863774,25785.0008630146,63914.49796111948,2.041244976525801,1.2649325530704156,1.0,0.9132,2.041244976525801,1.2649325530704156,True,True,True,True,True,1816,1847,1.5479478065,1816,1847,True,0.4664291274254863,0.5023019371686621,1.5479478065,1.503531546,1.5538320391618945,1.535134588634001,-0.0358728097431757,0.0186974505278934,0.0444162604999998,0.403429608078908,0.25,847.0352954046832,927.751677950519,0.2888680741117262,0.2826464044587085,0.3598414216433339,0.3240095534774318,True,True,10,0.4666336148788595,0.0072434957499295,0.4666336148788595,0.0072434957499295,,,,,195.015438,27.964525,GiC,0.01778,17.26,18.49,1.2299995,17.207,16.401,16.026,15.919,0.80600166,1.1810017,7.15,,,NED,,,2007SDSS6.C...0000:,-17.74,False,0.89375,Members of systems,,2668.9116594673533,False,1.237667444048724e+18,9.422453,7.926310613697409,17.79433,16.6457,16.29974,0.0094071,0.006945321,0.008212235,0.03074882,0.02127189,0.0158073,17.76358118,16.62442811,16.2839327,True,1.139153069999999,1.479648479999998,17.20481,16.39346,16.02829,0.009123255,0.006616065,0.007813034,17.17406118,16.37218811,16.0124827,17.081480868699998,0.005627364442639,"SDSS(cModelMag g,r)",17.081480868699998,SDSS,Vmag_sdss,1.479648479999998,1.139153069999999,SDSS(cModel extcorr),-17.918519131300002,0.89375,7.926310613697409,SDSS,False,3.2,25.36419396383171,,,,1.479648479999998,g-i,,1.0,0.0,6.189979712058423,1.2259049075518114,1.2259049075518114,NGC 4889,2.6149297151740294,948659310.2687525,4.695446512465112,4.140232257504728,5.284277745147377,4.695446512465112,1.4801715397570094,0.06777626674299064,1.4813025497541994,0.02222899624580066,-0.010129925974670606,0.054546186474670404,1.5064118885057383,0.047420150656156235,1.498045873018294,0.037088715615707146,-0.005391847939309857,0.024089298467203257,0.6072768211910132,-0.14084769376552692,0.6053926338553891,-0.10309069668672699,-0.008642920552242195,-0.027229889190933505,0.1173268743109457
SDSS J130033.33+275849.3,13,31,1666.705477008653,6666.82190803461,1666.705477008653,6666.82190803461,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,13,29,1.360935226,13,29,True,0.679577751912681,0.6499273733034796,1.360935226,1.451525561,1.4025198015384617,1.4714440594137932,0.0296503786092013,-0.0689242578753315,-0.0905903349999999,0.25,0.25,8.834510774864853,18.84789382580091,0.1887353143670932,0.2124091143565351,0.2308795904432459,0.3257925445522007,True,True,10,0.6889640028525781,0.0514593551115644,0.6889640028525781,0.0514593551115644,,,,,195.138894,27.980364,AG?,0.0172,17.93,19.883,1.9529991,19.081,18.425,18.046,17.767,0.65600014,1.0349998,5.6,,,NED,,,2007SDSS6.C...0000:,-17.07,False,0.7,Other,,2023.575699311731,False,1.2376673243346378e+18,2.985155,2.87915143393122,18.883,18.21784,17.98378,0.01951113,0.01799711,0.0203615,0.0350279,0.02423214,0.01800708,18.8479721,18.19360786,17.96577292,True,0.6543642399999996,0.8821991800000006,19.07247,18.41958,18.04261,0.01881794,0.01724832,0.01971573,19.0374421,18.39534786,18.02460292,18.4518971984,0.0132944048221074,"SDSS(cModelMag g,r)",18.4518971984,SDSS,Vmag_sdss,0.8821991800000006,0.6543642399999996,SDSS(cModel extcorr),-16.548102801600002,0.7,2.87915143393122,SDSS,False,3.2,9.213284588579905,,,,0.8821991800000006,g-i,,1.0,0.0,12.78648642089626,5.575562057885486,5.575562057885486,NGC 4889,9.176988092179403,10558192.339535872,11.238010979748395,10.585858629837157,11.548665794849926,11.238010979748395,1.467838866629204,-0.10690364062920388,1.4877647135737078,-0.0362391525737078,-0.032774590614719434,-0.05781574438528046,1.4949437971154036,-0.09242399557694192,1.503699963023108,-0.03225590360931485,-0.030913067588736298,-0.038011190286595206,0.631595344248474,0.04798240766420703,0.6097627620226541,0.04016461128082549,0.010155083895919015,0.019495294713282284,0.0051238010939244
2MASX J12592536+2756038,73,119,966.9935228760526,3867.97409150421,966.9935228760526,3867.97409150421,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,68,116,1.5475761775,68,116,True,0.5683750121464094,0.5843664413041739,1.5475761775,1.5162844505000002,1.5373576722500004,1.510698987775862,-0.0159914291577645,0.0266586844741383,0.0312917269999999,0.25,0.25,38.64950082595584,67.78650719128417,0.2193502488691366,0.2140614440303783,0.2402861850992335,0.2471737469121101,True,True,10,0.5685117120462909,0.0264907215676741,0.5685117120462909,0.0264907215676741,,,,,194.85557934601,27.93449232493,GiC,0.02531,17.02,18.094,1.0739994,17.578,16.871,16.55,16.316,0.7069988,1.0279999,8.579999923706055,0.143,90.0,SIMBAD,C,2006AJ....131.1163S,,-17.98,False,1.0724999904632568,Members of systems,E/S0,4517.585880691035,False,1.2376674440486584e+18,2.307695,2.193041545887024,17.54884,16.90173,16.5925,0.006365186,0.005119016,0.005765975,0.03608074,0.02496049,0.01854832,17.51275926,16.87676951,16.57395168,True,0.6359897500000002,0.9388075799999988,17.57126,16.86209,16.54906,0.006325855,0.005087877,0.005734589,17.53517926,16.837129509999997,16.53051168,17.127525307499997,0.0039915406321228,"SDSS(cModelMag g,r)",17.127525307499997,SDSS,Vmag_sdss,0.9388075799999988,0.6359897500000002,SDSS(cModel extcorr),-17.872474692500003,1.0724999904632568,2.193041545887024,SDSS,False,3.0,6.579124637661071,,,,0.9388075799999988,g-i,8.58,1.0,90.0,2.729744081742917,9.780915934680484,2.729744081742917,NGC 4874,6.203938961804454,55677532.40481717,4.366033477022266,4.8557645708570965,4.412367571661328,4.366033477022266,1.479757175887602,0.06781900161239807,1.4815196711501244,0.03476477934987576,-0.010890761096500723,0.042182488096500624,1.5060265736049077,0.03133109864509276,1.4982358440479395,0.012463143727922565,-0.006249332056203427,0.03290801653034173,0.6080938960626114,-0.03971888391620204,0.605539465219395,-0.021173023915221023,-0.008011328862463557,-0.007980100295300944,0.0321403822103836
GMP 2550,0,0,0.0763276446679605,0.3053105786718418,0.0763276446679605,0.3053105786718418,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,0,0,,0,0,True,,,,,,,,,,0.2500000000000001,0.2500000000000001,,,,,,,False,False,10,,,,,,,,,195.16241666666667,28.00980555555556,G,0.0197870221271543,18.45,19.149,0.6989994,18.84,,,17.14,,,5.64,,,NED,,,2007SDSS6.C...0000:,-16.55,False,0.705,Regular galaxies,Sa,2337.200564489691,False,1.2376673243347026e+18,0.03022349,0.0194839051715349,25.11438,24.80202,24.3618,0.9671926,0.9461214,1.06993,0.03529272,0.02441534,0.01814322,25.07908728,24.77760466,24.34365678,True,0.3014826200000016,0.7354304999999997,25.11438,24.80202,24.3618,0.7037622,0.7457531,0.7792174,25.07908728,24.77760466,24.34365678,24.8912125342,0.6847271732867282,"SDSS(cModelMag g,r)",24.8912125342,SDSS,Vmag_sdss,0.7354304999999997,0.3014826200000016,SDSS(cModel extcorr),-10.108787465800004,0.705,0.0194839051715349,SDSS,False,3.0,0.0584517155146048,,,,0.7354304999999997,g-i,,1.0,0.0,14.293750168346756,7.095479904962103,7.095479904962103,NGC 4889,10.68914735252012,5243609.097782694,12.687443740561982,12.348553607574654,13.39181096772086,12.687443740561982,,,,,,,,,,,,,,,,,,,
IC 4051,1637,557,27799.4539116198,111197.81564647915,27799.4539116198,78261.02265199204,1.0,0.7038,1.0,0.7038,1.0,0.7038,True,False,False,True,True,1543,538,1.511402755,1543,538,True,0.566137157270622,0.6195862764435549,1.511402755,1.4314196585,1.528901039213869,1.452543530717472,-0.0534491191729329,0.0763575084963972,0.0799830964999999,0.3552145495879512,0.25,873.5496336685698,333.3374167266325,0.2445639499487323,0.2271990110849851,0.2820846573382687,0.2822751633285517,True,True,10,0.5668238840770924,0.0058723496128409,0.5668238840770924,0.0058723496128409,,,,,195.22692933466,28.007639484250003,EmG,0.01662,13.5,14.8,1.3000002,13.83,13.045,12.617,12.289,0.78499985,1.2130003,79.12799835205078,0.915775,103.0,SIMBAD,B,2023ApJS..269....3M,,-21.5,True,9.890999794006348,Regular galaxies,E3,27648.45590073015,True,1.2376673243347028e+18,16.32261,14.110691012813476,13.7839,13.09279,12.65764,0.001822794,0.001708321,0.001716669,0.03332343,0.02305299,0.01713084,13.75057657,13.06973701,12.64050916,True,0.680839559999999,1.1100674099999992,13.83039,13.04475,12.61681,0.001806036,0.001684989,0.00169446,13.79706657,13.02169701,12.59967916,13.3388812296,0.0012547536390096,"SDSS(cModelMag g,r)",13.3388812296,SDSS,Vmag_sdss,1.1100674099999992,0.680839559999999,SDSS(cModel extcorr),-21.6611187704,9.890999794006348,14.110691012813476,SDSS,False,4.8,67.73131686150468,,,,1.1100674099999992,g-i,54.9465,0.694400226776063,103.0,17.627269946582405,10.398940718506523,10.398940718506523,NGC 4889,14.012721219897164,1746533.0058117365,16.040313843896875,15.523522290152426,16.490726894251296,16.040313843896875,1.5138520038590153,-0.0024492488590153183,1.4636544150563364,-0.03223475655633634,0.05171253158560968,0.028270564914390228,1.5377311845243637,-0.008830145310494641,1.4826045835700805,-0.030061052852608405,0.06430646590831107,0.012051042588086133,0.5408630652791717,0.025274091991450254,0.5934578372923568,0.026128439151198113,-0.05998016977992007,0.006531050606987172,0.0097938476625387
NGC 4876,25,153,2855.852862258699,11423.411449034793,2855.852862258699,10504.969168532396,1.0,0.9196,1.0,0.9196,1.0,0.9196,True,True,True,True,True,25,150,1.469393536,25,150,True,0.5899328644186841,0.5781677014091606,1.469393536,1.47888256,1.4991017700400002,1.5029819551066668,0.0117651630095234,-0.0038801850666665,-0.009489024,0.2718573292735973,0.25,14.748321610467103,86.72515521137409,0.2336424218506262,0.250952186193473,0.2455166277029276,0.3143623618266028,True,True,10,0.592743882840185,0.0480449980201324,0.592743882840185,0.0480449980201324,,,,,194.93501805293,27.91246772362,LIN,0.02235,14.18,15.1,0.9200001,14.952,14.155,13.761,13.463,0.79699993,1.191,36.99737930297852,0.421215,22.0,SIMBAD,B,2023ApJS..269....3M,,-20.82,True,4.6246724128723145,Active (AGN/Seyfert/QSO),,17263.682282364145,False,1.2376674440486587e+18,5.504371,4.55995894226145,14.99974,14.20316,13.77287,0.002342492,0.002081028,0.002123126,0.03254221,0.02251255,0.01672924,14.967197789999998,14.18064745,13.75614076,True,0.786550339999998,1.2110570299999992,14.95233,14.15514,13.76129,0.002319187,0.00205877,0.002101916,14.91978779,14.13262745,13.74456076,14.4931330894,0.0015588196594867,"SDSS(cModelMag g,r)",14.4931330894,SDSS,Vmag_sdss,1.2110570299999992,0.786550339999998,SDSS(cModel extcorr),-20.506866910600003,4.6246724128723145,4.55995894226145,SDSS,False,3.2,14.591868615236642,,,,1.2110570299999992,g-i,25.2729,0.6830997350659745,22.0,3.400942041714428,6.510209143461234,3.400942041714428,NGC 4874,3.728199572819825,34132730.2668044,3.5130969872231628,1.2884322842469462,0.002160211589768,3.5130969872231628,1.5034646415767874,-0.0340711055767875,1.4690972607415105,0.009785299258489477,0.032639753694057916,-0.042128777694057915,1.5280720280120155,-0.028970257972015245,1.4873668180546635,0.015615137052003236,0.042810870295287795,-0.046691055361954295,0.5613456732708672,0.028587191147816937,0.5971386373932533,-0.01897093598409272,-0.044147293941693116,0.055912456951216515,0.0269571594377427
NGC 4883,54,182,5735.775817301432,22943.103269205727,5735.775817301432,19887.081913747523,1.0,0.8667999999999999,1.0,0.8668,1.0,0.8668,True,True,True,True,True,47,176,1.430575127,47,176,True,0.5793699999969601,0.6367474054456557,1.430575127,1.4007106385,1.5058272339574466,1.4329473753806818,-0.0573774054486955,0.0728798585767647,0.0298644884999998,0.2884171665897554,0.25,27.230389999857127,112.0675433584354,0.2714543744254806,0.2225346181453147,0.3315285964454747,0.2831712012856552,True,True,10,0.5834896348479716,0.0380359754378723,0.5834896348479716,0.0380359754378723,,,,,194.98340521471,28.034715581050005,GiG,0.02719,14.27,15.2,0.92999935,14.821,14.007,13.584,13.254,0.8140001,1.2370005,38.738399505615234,0.533751,80.0,SIMBAD,B,2023ApJS..269....3M,,-20.73,True,4.842299938201904,Members of systems,,21862.00344133771,False,1.2376673243345718e+18,6.498521,5.874312168409293,14.84764,14.04769,13.60803,0.002187753,0.001979091,0.001982934,0.03000656,0.0207584,0.01542571,14.81763344,14.0269316,13.59260429,True,0.7907018400000005,1.225029150000001,14.82103,14.0069,13.58407,0.002165257,0.001957995,0.001964019,14.79102344,13.9861416,13.56864429,14.341119354399998,0.0014724161555133,"SDSS(cModelMag g,r)",14.341119354399998,SDSS,Vmag_sdss,1.225029150000001,0.7907018400000005,SDSS(cModel extcorr),-20.6588806456,4.842299938201904,5.874312168409293,SDSS,False,3.2,18.79779893890974,,,,1.225029150000001,g-i,32.02506,0.8267006486769769,80.0,6.371719626894357,4.36928950469581,4.36928950469581,NGC 4889,4.096655204134222,25083030.479686186,4.86785370959485,6.50773941549859,7.768595190392093,4.86785370959485,1.5048326460759036,-0.07425751907590361,1.4683804437880812,-0.06766980528808109,0.035151618136383844,-0.005287129636384044,1.5293441285903466,-0.023516894632900076,1.4867396368681653,-0.053792261487483506,0.04564181723935545,0.027238041337409244,0.5586481357127315,0.02072186428422862,0.5966538799580584,0.04009352548759726,-0.04623246674997186,-0.011144938698723635,0.0104647962363727
NGC 4874,7653,6296,170033.22025329777,680132.8810131911,169829.18038899382,252949.405111923,0.9988,0.371911742798121,0.9988,0.3186,0.9988,0.371911742798121,True,False,False,True,True,7457,6045,1.514460341,7457,6045,True,0.5552848790923332,0.4865546580541968,1.514460341,1.529944496,1.532350333554647,1.553908240182796,0.0687302210381363,-0.0215579066281492,-0.015484155,0.6713958481691198,0.25,4140.759343391528,2941.22290793762,0.2504101007178146,0.2879992784911815,0.2989170245522013,0.3535677229230149,True,True,10,0.554936302033425,0.0029786259474266,0.554936302033425,0.0029786259474266,,,,,194.89878906845,27.959248303390005,LIN,0.02391,12.71,13.7,0.9899998,12.6472,11.7979,11.66,11.1535,0.84929943,0.9871998,140.40420532226562,2.26074,63.0,SIMBAD,B,2023ApJS..269....3M,,-22.29,True,17.550525665283203,Active (AGN/Seyfert/QSO),,69955.70961435766,True,1.2376674440486584e+18,29.67989,29.58632953200881,12.91115,12.10644,11.64227,0.001804969,0.001734343,0.001838514,0.03009333,0.02081842,0.01547032,12.88105667,12.08562158,11.62679968,True,0.7954350899999998,1.25425699,12.79304,11.98041,11.52575,0.001763336,0.001690713,0.001796031,12.76294667,11.95959158,11.51027968,12.4017499669,0.0012628226591444,"SDSS(cModelMag g,r)",12.4017499669,SDSS,Vmag_sdss,1.25425699,0.7954350899999998,SDSS(cModel extcorr),-22.5982500331,17.550525665283203,29.58632953200881,SDSS,False,4.8,142.0143817536423,,,,1.25425699,g-i,135.64440000000002,0.9660992680999791,63.0,0.0,7.230359733741266,7.230359733741236,NGC 4889,3.615325668910727,1.0947123389942932e+27,1.6476759061251465,3.067469305851432,3.3988032379001165,1.6476759061251465,1.522285450900074,-0.007825109900074123,1.4592353960993194,0.07070909990068053,0.06719762374894706,-0.08268177874894705,1.545573404974069,-0.013223071419422139,1.4787381494136875,0.07517009076910841,0.08175863155854574,-0.10331653818669494,0.5242333391689857,0.031051539923347415,0.5904694142571129,-0.10391475620291607,-0.07283480180886118,0.14156502284699746,0.1454018581095996
NGC 4869,371,607,9330.606280174236,37322.42512069693,9280.221006261296,31261.263281095748,0.9946000000000002,0.8376,0.9946,0.8376,0.9946,0.8376,True,True,True,True,True,359,588,1.522989706,359,588,True,0.5323359985083966,0.5931986058121808,1.522989706,1.488210463,1.5531798171309192,1.5013354983469387,-0.0608626073037841,0.0518443187839805,0.0347792429999997,0.2968600764087871,0.2500000000000001,191.1086234645144,348.8007802175623,0.2558455246978914,0.2283998401706279,0.3057855101007172,0.2695506117755303,True,True,10,0.5332526903400308,0.0133912412731998,0.5332526903400308,0.0133912412731998,,,,,194.84732847876,27.9115921901,EmG,0.0228791612896412,13.52,14.9,1.3799992,14.429,13.624,13.195,12.914,0.8050003,1.2340002,49.683780670166016,0.690853,47.0,SIMBAD,B,2023ApJS..269....3M,,-21.48,True,6.210472583770752,Regular galaxies,,23717.064620554364,False,1.2376674440486584e+18,7.956479,7.458111597766792,14.35112,13.44835,13.10265,0.002026937,0.00177299,0.001854436,0.03790001,0.02621905,0.01948356,14.31321999,13.42213095,13.08316644,True,0.8910890400000007,1.2300535499999992,14.31396,13.44071,13.0601,0.00200983,0.001768293,0.001849584,14.27605999,13.41449095,13.04061644,13.7774774564,0.0013359957012654,"SDSS(cModelMag g,r)",13.7774774564,SDSS,Vmag_sdss,1.2300535499999992,0.8910890400000007,SDSS(cModel extcorr),-21.2225225436,6.210472583770752,7.458111597766792,SDSS,False,3.2,23.86595711285373,,,,1.2300535499999992,g-i,41.45118,0.8343000359650669,47.0,3.9518547463563447,10.63187370503541,3.9518547463563447,NGC 4874,7.159220890833464,19184895.842508864,5.514877770275918,5.417389790280318,4.648666042057671,5.514877770275918,1.5099049814958205,0.013084724504179412,1.4657226045596097,0.02248785844039025,0.04446519787173675,-0.009685954871737047,1.534060868064037,0.019118949066882163,1.4844141523035776,0.01692134604336104,0.05613850234936624,-0.004294183565385738,0.5486461106378664,-0.016310112129469756,0.5948564792110608,-0.0016578733988800165,-0.053963944167563255,-0.006898663136220846,0.0276069811029718
NGC 4889,5409,1873,66254.73464254303,265018.938570172,100366.39866440544,208048.6113375052,1.514856246967124,0.7850329959812207,0.8924,0.7842,1.514856246967124,0.7850329959812207,True,False,False,True,True,5203,1819,1.558069722,5203,1819,True,0.4604737125659474,0.6071986509922486,1.558069722,1.436072078,1.573870064514126,1.456892756706982,-0.1467249384263011,0.1169773078071441,0.1219976439999999,0.4824180176890816,0.2500000000000001,2395.844726480625,1104.4943461549,0.2921096965700864,0.2343436703501022,0.3586130626317433,0.3021319732734748,True,True,10,0.4603073008992405,0.0042450686928669,0.4603073008992405,0.0042450686928669,,,,,195.0337375,27.977025,EmG,0.0215,11.3,13.0,1.6999998,12.3528,11.5017,11.527,10.8346,0.85109997,0.82579994,175.40460205078125,1.8169,75.0,SIMBAD,B,2023ApJS..269....3M,,-23.7,True,21.925575256347656,Regular galaxies,,78815.62927836124,True,1.237667444048724e+18,29.67856,23.02623275480716,12.42321,11.59573,11.37449,0.001673849,0.001673236,0.001773992,0.0316632,0.02190446,0.01627736,12.3915468,11.57382554,11.35821264,True,0.817721259999999,1.033334159999999,12.34061,11.5143,11.21793,0.001639316,0.001640705,0.001737578,12.3089468,11.49239554,11.20165264,11.899091256599998,0.001202314310135,"SDSS(cModelMag g,r)",11.899091256599998,SDSS,Vmag_sdss,1.033334159999999,0.817721259999999,SDSS(cModel extcorr),-23.1009087434,21.925575256347656,23.02623275480716,SDSS,False,4.8,110.52591722307436,,,,1.033334159999999,g-i,109.014,0.6215002270489998,75.0,7.230359733741236,0.0,7.230359733741236,NGC 4874,3.6150343526425783,1.739255948418119e+27,5.663826045561618,5.355075206236344,6.509825718401151,5.663826045561618,1.526808985416283,0.031260736583716975,1.4568651215624038,-0.020793043562403746,0.07550352150896184,0.04649412249103807,1.5497798172175148,0.024090247296611134,1.4766642704557782,-0.019771513748796155,0.09111962870681528,0.025857679100328823,0.5153134823550057,-0.05483976978905836,0.5888664831326099,0.01833216785963865,-0.07972977267818446,-0.06699516574811665,0.0696691579231868
